close	open	ctc	otc	cto	oto	date	wkday	d1	d2	d3	d4	d5
14.31	14.04	0.08682081	0.019048195	0.067772615	0.054146363	2013923	2	1	0	0	0	0
13.12	13.3	-0.003044142	-0.013626252	0.010582109	0.021277398	2013920	6	0	0	0	0	1
13.16	13.02	-0.032152302	0.010695289	-0.042847591	-0.119999386	2013919	5	0	0	0	1	0
13.59	14.68	-0.066881249	-0.077151795	0.010270546	0.01648389	2013918	4	0	0	1	0	0
14.53	14.44	0.010377125	0.006213344	0.004163781	0.023827336	2013917	3	0	1	0	0	0
14.38	14.1	0.015417264	0.019663555	-0.004246291	-0.011984634	2013916	2	1	0	0	0	0
14.16	14.27	-0.009138904	-0.007738343	-0.00140056	0.024114644	2013913	6	0	0	0	0	1
14.29	13.93	0.033443174	0.025515204	0.007927969	-0.056520099	2013912	5	0	0	0	1	0
13.82	14.74	-0.050098659	-0.064448068	0.014349409	-0.01012496	2013911	4	0	0	1	0	0
14.53	14.89	-0.072976667	-0.024474369	-0.048502298	-0.06311037	2013910	3	0	1	0	0	0
15.63	15.86	-0.013977356	-0.014608072	0.000630716	0.032684742	2013909	2	1	0	0	0	0
15.85	15.35	0.005060099	0.032054026	-0.026993927	-0.048945263	2013906	6	0	0	0	0	1
15.77	16.12	-0.006951055	-0.021951336	0.015000281	-0.046068752	2013905	5	0	0	0	1	0
15.88	16.88	-0.044944468	-0.061069033	0.016124566	0.024588945	2013904	4	0	0	1	0	0
16.61	16.47	-0.023796483	0.008464379	-0.032260862	-0.016857714	2013903	3	0	1	0	0	0
17.01	16.75	0.011827459	0.015403148	-0.003575689	-0.002385213	2013830	6	0	0	0	0	1
16.81	16.79	0.019219811	0.001190476	0.018029335	-0.010074159	2013829	5	0	0	0	1	0
16.49	16.96	-0.016837439	-0.028103494	0.011266055	0.023867481	2013828	4	0	0	1	0	0
16.77	16.56	0.112208264	0.012601427	0.099606837	0.141847449	2013827	3	0	1	0	0	0
14.99	14.37	0.069755575	0.042240612	0.027514963	0.005582708	2013826	2	1	0	0	0	0
13.98	14.29	-0.054293082	-0.021932255	-0.032360827	-0.065675034	2013823	6	0	0	0	0	1
14.76	15.26	-0.076910854	-0.033314207	-0.043596648	-0.047353696	2013822	5	0	0	0	1	0
15.94	16	0.066799545	-0.003757049	0.070556593	0.04997837	2013821	4	0	0	1	0	0
14.91	15.22	-0.012662615	-0.020578224	0.007915609	0.018568173	2013820	3	0	1	0	0	0
15.1	14.94	0.049552044	0.010652564	0.03889948	0.025764137	2013819	2	1	0	0	0	0
14.37	14.56	-0.02474353	-0.013135343	-0.011608188	0.029270382	2013816	6	0	0	0	0	1
14.73	14.14	0.121864674	0.04087857	0.080986104	0.124880298	2013815	5	0	0	0	1	0
13.04	12.48	0.057609616	0.043894194	0.013715423	-0.029994356	2013814	4	0	0	1	0	0
12.31	12.86	-0.039814176	-0.043709779	0.003895603	-0.050048352	2013813	3	0	1	0	0	0
12.81	13.52	-0.045774581	-0.053943955	0.008169373	0.04849435	2013812	2	1	0	0	0	0
13.41	12.88	0.052039285	0.040324977	0.011714308	0.029947076	2013809	6	0	0	0	0	1
12.73	12.5	-0.019448299	0.018232768	-0.037681067	-0.052212871	2013808	5	0	0	0	1	0
12.98	13.17	0.020234153	-0.014531804	0.034765958	0.077325572	2013807	4	0	0	1	0	0
12.72	12.19	0.071691928	0.042559614	0.029132314	-0.00816998	2013806	3	0	1	0	0	0
11.84	12.29	-0.011754963	-0.037302294	0.025547331	-0.029661493	2013805	2	1	0	0	0	0
11.98	12.66	-0.077084696	-0.055208824	-0.021875872	-0.0180044	2013802	6	0	0	0	0	1
12.94	12.89	-0.038655817	0.003871472	-0.042527289	-0.04993473	2013801	5	0	0	0	1	0
13.45	13.55	0.004470946	-0.007407441	0.011878388	0.007407441	2013731	4	0	0	1	0	0
13.39	13.45	0	-0.004470946	0.004470946	-0.006669161	2013730	3	0	1	0	0	0
13.39	13.54	0.051332602	-0.011140108	0.06247271	0.00964757	2013729	2	1	0	0	0	0
12.72	13.41	-0.01946344	-0.052825139	0.033361699	-0.004464293	2013726	6	0	0	0	0	1
12.97	13.47	-0.016061531	-0.037825992	0.021764461	0.059650709	2013725	5	0	0	0	1	0
13.18	12.69	0.040253112	0.037886247	0.002366865	0.043485112	2013724	4	0	0	1	0	0
12.66	12.15	0.029661493	0.041118247	-0.011456754	-0.085157808	2013723	3	0	1	0	0	0
12.29	13.23	-0.020137612	-0.073701055	0.053563443	-0.048682179	2013722	2	1	0	0	0	0
12.54	13.89	-0.093568778	-0.102245622	0.008676844	0.018895911	2013719	6	0	0	0	0	1
13.77	13.63	-0.000725953	0.010219067	-0.01094502	-0.040968719	2013718	5	0	0	0	1	0
13.78	14.2	-0.045397866	-0.030023699	-0.015374167	0.030023699	2013717	4	0	0	1	0	0
14.42	13.78	0.04467244	0.045397866	-0.000725426	-0.014409471	2013716	3	0	1	0	0	0
13.79	13.98	-0.003619258	-0.013684045	0.010064787	0.005738897	2013715	2	1	0	0	0	0
13.84	13.9	-0.01220841	-0.00432589	-0.00788252	0.024027366	2013712	6	0	0	0	0	1
14.01	13.57	-0.014174582	0.031909887	-0.046084468	-0.063524743	2013711	5	0	0	0	1	0
14.21	14.46	-0.009804	-0.017440275	0.007636275	0.009030975	2013710	4	0	0	1	0	0
14.35	14.33	-0.029524973	0.0013947	-0.030919674	-0.022767455	2013709	3	0	1	0	0	0
14.78	14.66	-0.007414931	0.008152219	-0.01556715	-0.061506987	2013708	2	1	0	0	0	0
14.89	15.59	-0.084321396	-0.045939836	-0.038381559	-0.099441816	2013705	6	0	0	0	0	1
16.2	17.22	-0.014706147	-0.061060257	0.046354109	0.043317362	2013703	4	0	0	1	0	0
16.44	16.49	0.004266998	-0.003036747	0.007303745	-0.024559485	2013702	3	0	1	0	0	0
16.37	16.9	-0.029493561	-0.031863231	0.002369669	-0.020498522	2013701	2	1	0	0	0	0
16.86	17.25	0	-0.022868191	0.022868191	0.038409448	2013628	6	0	0	0	0	1
16.86	16.6	-0.020546658	0.015541257	-0.036087915	-0.037249355	2013627	5	0	0	0	1	0
17.21	17.23	-0.070657184	-0.00116144	-0.069495744	-0.079194096	2013626	4	0	0	1	0	0
18.47	18.65	-0.08506941	-0.009698352	-0.075371058	-0.112466575	2013625	3	0	1	0	0	0
20.11	20.87	0.062055282	-0.037095517	0.099150799	0.095453937	2013624	2	1	0	0	0	0
18.9	18.97	-0.08077504	-0.003696862	-0.077078178	0.030508119	2013621	6	0	0	0	0	1
20.49	18.4	0.208127527	0.107586298	0.100541229	0.085628934	2013620	5	0	0	0	1	0
16.64	16.89	0.001804512	-0.014912295	0.016716807	0.004747783	2013619	4	0	0	1	0	0
16.61	16.81	-0.011373963	-0.011969024	0.000595061	0.016797036	2013618	3	0	1	0	0	0
16.8	16.53	-0.020619287	0.016201975	-0.036821262	-0.006031381	2013617	2	1	0	0	0	0
17.15	16.63	0.044107269	0.03078988	0.013317388	-0.100054824	2013614	6	0	0	0	0	1
16.41	18.38	-0.124732897	-0.113372212	-0.011360685	0.107296859	2013613	5	0	0	0	1	0
18.59	16.51	0.085301265	0.118657544	-0.033356279	-0.023938905	2013612	4	0	0	1	0	0
17.07	16.91	0.100360992	0.009417374	0.090943618	0.109244783	2013611	3	0	1	0	0	0
15.44	15.16	0.019621297	0.018301164	0.001320132	-0.047658729	2013610	2	1	0	0	0	0
15.14	15.9	-0.093868045	-0.048978861	-0.044889184	-0.10724553	2013607	6	0	0	0	0	1
16.63	17.7	-0.050992588	-0.062356346	0.011363759	0.048620687	2013606	5	0	0	0	1	0
17.5	16.86	0.07287796	0.037256928	0.035621031	0.042404899	2013605	4	0	0	1	0	0
16.27	16.16	-0.000614439	0.006783868	-0.007398307	-0.014742282	2013604	3	0	1	0	0	0
16.28	16.4	-0.001227747	-0.007343974	0.006116227	0.087898688	2013603	2	1	0	0	0	0
16.3	15.02	0.11494963	0.081782461	0.033167169	0.008021433	2013531	6	0	0	0	0	1
14.53	14.9	-0.020436679	-0.025145735	0.004709057	-0.026491615	2013530	5	0	0	0	1	0
14.83	15.3	0.023883769	-0.031200672	0.055084441	0.112649178	2013529	4	0	0	1	0	0
14.48	13.67	0.034425598	0.057564736	-0.023139138	-0.065132712	2013528	3	0	1	0	0	0
13.99	14.59	-0.005702082	-0.041993574	0.036291491	-0.023705817	2013524	6	0	0	0	0	1
14.07	14.94	0.017928053	-0.059997309	0.077925361	0.105063074	2013523	5	0	0	0	1	0
13.82	13.45	0.033103427	0.027137712	0.005965715	0.02789476	2013522	4	0	0	1	0	0
13.37	13.08	0.026526754	0.021929045	0.004597709	-0.015174798	2013521	3	0	1	0	0	0
13.02	13.28	0.044766014	-0.019772507	0.064538521	0.042297731	2013520	2	1	0	0	0	0
12.45	12.73	-0.048598905	-0.02224079	-0.026358115	-0.026358115	2013517	6	0	0	0	0	1
13.07	13.07	0.020093412	0	0.020093412	0.006909816	2013516	5	0	0	0	1	0
12.81	12.98	0.003127446	-0.013183595	0.016311041	0.028919561	2013515	4	0	0	1	0	0
12.77	12.61	0.017378004	0.01260852	0.004769484	0.003177127	2013514	3	0	1	0	0	0
12.55	12.57	-0.003182182	-0.001592357	-0.001589825	-0.039771323	2013513	2	1	0	0	0	0
12.59	13.08	-0.04199684	-0.038181498	-0.003815342	0.013082141	2013510	6	0	0	0	0	1
13.13	12.91	0.036452272	0.016897483	0.019554788	0.003103183	2013509	5	0	0	0	1	0
12.66	12.87	-0.013338762	-0.016451605	0.003112843	0.018824085	2013508	4	0	0	1	0	0
12.83	12.63	0.013338762	0.015711242	-0.00237248	-0.033479187	2013507	3	0	1	0	0	0
12.66	13.06	-0.014896395	-0.031106707	0.016210313	0.010777625	2013506	2	1	0	0	0	0
12.85	12.92	-0.055990417	-0.005432687	-0.05055773	-0.113991889	2013503	6	0	0	0	0	1
13.59	14.48	-0.064124528	-0.063434159	-0.000690369	0.042319432	2013502	5	0	0	0	1	0
14.49	13.88	0.069288686	0.043009801	0.026278884	0.012323462	2013501	4	0	0	1	0	0
13.52	13.71	-0.013955423	-0.013955423	0	-0.000729129	2013430	3	0	1	0	0	0
13.71	13.72	0.007320677	-0.000729129	0.008049806	-0.015907783	2013429	2	1	0	0	0	0
13.61	13.94	-0.000734484	-0.023957589	0.023223105	0.023957589	2013426	6	0	0	0	0	1
13.62	13.61	0.000734484	0.000734484	0	0.002943343	2013425	5	0	0	0	1	0
13.61	13.57	0.009597711	0.002943343	0.006654368	-0.017531494	2013424	4	0	0	1	0	0
13.48	13.81	-0.065326415	-0.024185862	-0.041140553	-0.087976395	2013423	3	0	1	0	0	0
14.39	15.08	-0.039514678	-0.046835842	0.007321164	-0.100241334	2013422	2	1	0	0	0	0
14.97	16.67	-0.15957539	-0.107562498	-0.052012891	0.019994607	2013419	6	0	0	0	0	1
17.56	16.34	0.06165733	0.072007499	-0.010350169	0.062500615	2013418	5	0	0	0	1	0
16.51	15.35	0.167770161	0.072850784	0.094919377	0.041908361	2013417	4	0	0	1	0	0
13.96	14.72	-0.212774795	-0.053011016	-0.159763779	0.11506933	2013416	3	0	1	0	0	0
17.27	13.12	0.359076701	0.274833109	0.084243592	0.039647634	2013415	2	1	0	0	0	0
